time_s,room_k,dock_k,sink_k,t2_k,t3_k,t4_k,t5_k,t6_k,tevap_k,tcond_k,q_room_w,q_dock_w,q_cascade_w,q_cond_w,w_air_comp_w,w_air_turb_w,w_air_input_w,w_ref_comp_w,m_ref_kg_s,cop_system,base_room_load_w,base_dock_load_w,infiltration_room_w,infiltration_dock_w,load_w,dock_load_w,newton_iterations,pid_B1_room_to_air_compressor_output,pid_B3_sink_to_condenser_output,pid_VC5_dock_to_dock_evaporator_output,pid_VC4_expansion_valve_output,pid_B4_cascade_hx_outlet_output
1485.0,235.1669275008502,286.2213768090037,309.64771059580255,256.69298725794135,293.29200175062454,286.2488102956718,269.8328634549694,229.62647206694152,285.22137680900374,311.12729328858967,7841.0203730977055,1958.2252172233295,9975.777740948772,15012.8279863908,30336.54369892591,23134.04606097815,12000.0,1784.3684224340357,0.011908180177523167,0.5688342137124294,9500.0,4500.0,1500.0,-1500.0,11000.0,3000.0,1.0,1.4071791760190442,6986.028752566032,1958.225217223441,2.7787549565553116,5121.391823404079
1490.0,235.1669275008502,286.2213768090037,309.64771059580255,256.69298725794135,293.29200175062454,286.2488102956718,269.8328634549694,229.62647206694152,285.22137680900374,311.12729328858967,7841.9978582756485,1958.5787860637797,9977.021351399482,15012.820673910734,30340.325543686504,23136.930020725027,12000.0,1784.3668885581667,0.011908180177523167,0.5689051896017776,9500.0,4500.0,1500.0,-1500.0,11000.0,3000.0,1.0,1.4073545992065655,6986.353638095822,1958.5787860638911,2.778584242787222,5121.350363395326
1495.0,235.1669275008502,286.2213768090037,309.64771059580255,256.69298725794135,293.29200175062454,286.2488102956718,269.8328634549694,229.62647206694152,285.22137680900374,311.12729328858967,7842.9753434535905,1958.93235490423,9978.264961850195,15012.81336142293,30344.107388447097,23139.813980471903,12000.0,1784.3653546807507,0.011908180177523167,0.5689761655069854,9500.0,4500.0,1500.0,-1500.0,11000.0,3000.0,1.0,1.4075300223940868,6986.678523625613,1958.9323549043413,2.7784135290191316,5121.308903386574
1500.0,235.1669275008502,286.2213768090037,309.64771059580255,256.69298725794135,293.29200175062454,286.2488102956718,269.8328634549694,229.62647206694152,285.22137680900374,311.12729328858967,7843.9528286315335,1959.28592374468,9979.508572300905,15012.806048927456,30347.88923320769,23142.69794021878,12000.0,1784.3638208018594,0.011908180177523167,0.5690471414280501,9500.0,4500.0,1500.0,-1500.0,11000.0,3000.0,1.0,1.407705445581608,6987.003409155403,1959.2859237447915,2.7782428152510414,5121.26744337782
1505.0,235.1669275008502,286.2213768090037,309.64771059580255,256.69298725794135,293.29200175062454,286.2488102956718,269.8328634549694,229.62647206694152,285.22137680900374,311.12729328858967,7844.930313809476,1959.6394925851303,9980.752182751618,15012.798736424224,30351.671077968283,23145.581899965655,12000.0,1784.3622869213962,0.011908180177523167,0.5691181173649756,9500.0,4500.0,1500.0,-1500.0,11000.0,3000.0,1.0,1.4078808687691293,6987.328294685193,1959.6394925852417,2.7780721014829517,5121.225983369067
1510.0,235.1669275008502,286.2213768090037,309.64771059580255,256.69298725794135,293.29200175062454,286.2488102956718,269.8328634549694,229.62647206694152,285.22137680900374,311.12729328858967,7845.907798987419,1959.9930614255804,9981.99579320233,15012.791423913306,30355.452922728877,23148.46585971253,12000.0,1784.3607530394386,0.011908180177523167,0.5691890933177589,9500.0,4500.0,1500.0,-1500.0,11000.0,3000.0,1.0,1.4080562919566506,6987.653180214983,1959.9930614256918,2.7779013877148615,5121.1845233603135
1515.0,235.1669275008502,286.2213768090037,309.64771059580255,256.69298725794135,293.29200175062454,286.2488102956718,269.8328634549694,229.62647206694152,285.22137680900374,311.12729328858967,7846.885284165362,1960.3466302660306,9983.23940365304,15012.78411139463,30359.234767489474,23151.349819459407,12000.0,1784.3592191559171,0.011908180177523167,0.5692600692864027,9500.0,4500.0,1500.0,-1500.0,11000.0,3000.0,1.0,1.408231715144172,6987.978065744773,1960.346630266142,2.7777306739467713,5121.14306335156
1520.0,235.1669275008502,286.2213768090037,309.64771059580255,256.69298725794135,293.29200175062454,286.2488102956718,269.8328634549694,229.62647206694152,285.22137680900374,311.12729328858967,7847.862769343304,1960.7001991064808,9984.483014103753,15012.776798868243,30363.016612250067,23154.233779206283,12000.0,1784.3576852708736,0.011908180177523167,0.5693310452709053,9500.0,4500.0,1500.0,-1500.0,11000.0,3000.0,1.0,1.4084071383316932,6988.302951274563,1960.7001991065922,2.7775599601786816,5121.101603342808
1525.0,235.1669275008502,286.2213768090037,309.64771059580255,256.69298725794135,293.29200175062454,286.2488102956718,269.8328634549694,229.62647206694152,285.22137680900374,311.12729328858967,7848.840254521245,1961.053767946931,9985.726624554463,15012.769486334146,30366.798457010656,23157.117738953155,12000.0,1784.3561513843108,0.011908180177523167,0.5694020212712667,9500.0,4500.0,1500.0,-1500.0,11000.0,3000.0,1.0,1.4085825615192142,6988.627836804353,1961.0537679470424,2.7773892464105914,5121.060143334054
1530.0,235.1669275008502,286.2213768090037,309.64771059580255,256.69298725794135,293.29200175062454,286.2488102956718,269.8328634549694,229.62647206694152,285.22137680900374,311.12729328858967,7849.817739699188,1961.4073367873812,9986.970235005174,15012.762173792336,30370.58030177125,23160.00169870003,12000.0,1784.3546174962285,0.011908180177523167,0.5694729972874869,9500.0,4500.0,1500.0,-1500.0,11000.0,3000.0,1.0,1.4087579847067355,6988.952722334144,1961.4073367874926,2.7772185326425016,5121.018683325301
